vocab,Freq
부드러운거,2
안하고,2
사랑해,2
꼬라지,2
왔으니,2
재미없네,2
우울증,2
속이,2
극한직업,2
있긴,2
누군데,2
그림자,2
헛소맄,2
전화고백,2
제정신아니야,2
괭이갈매기,2
파랑새,2
2100,2
보고있느넫,2
안하노,2
컨텐츠,2
중계하느라,2
나오네,2
나루호도,2
이해하는데,2
끝내자,2
항상,2
중계달리는,2
힘들었겠다,2
카미사마,2
노예였네,2
안나옴,2
안함,2
만연체,2
선생들도,2
시간정지다,2
저런거,2
눈치없노,2
좋네,2
안가도,2
타니구치데씈,2
아직까지,2
눈썹봐,2
생각은,2
드뎌,2
자꾸,2
당근,2
코타에와,2
링크글,2
엉덩이,2
마는거봐라,2
없는거,2
주머니,2
뭐가,2
잠깐,2
대충,2
꼬리치는거봐,2
쿈새끼는,2
좀더,2
부럽다,2
연습,2
다보고,2
머리스타일,2
있노,2
일단,2
한명도,2
이쁘다,2
멈춰줘,2
나오냐,2
검은조직,2
공지,2
시작이다,2
5등까지,2
교복이냐고,2
가장,2
츠루야누님,2
명언,2
있는데,2
나름,2
실화냐,2
보면,2
먹어야지,2
히라노,2
범죄자,2
무덤을,2
아저씨들,2
3화,2
미리,2
살아있어,2
캐나다,2
엔딩이냐,2
목표는,2
7화,2
노래냐,2
봉오도리,2
엑스트라,2
8화,2
창녀근성,2
어딨는거야,2
설마,2
눈치,2
씨발련아,2
개꼴리네,2
백퍼,2
8배속,2
마이크,2
사이트,2
가슴만지고,2
미모,2
60프레임,2
사기치고있냌,2
에반게리온,2
꼴리넼,2
고도에,2
조기축구회,2
하루이갤,2
둘이,2
갤주님,2
좆같은,2
저렇게,2
갤주는,2
개잘어울리네,2
아서코난도일,2
인터페이스,2
터짐,2
무시하고,2
끝나고,2
기관은,2
바로,2
모르겠다고,2
노래틀어주세여,2
발연기뭐냐시발,2
있다고,2
1회차,2
온두라스,2
떡밥나옴,2
놀러간거,2
컴부장,2
3명이면,2
야해,2
칼빵,2
남았노,2
들어오는,2
형님,2
입갤준비wwwwwwwwwww,2
안경벗어,2
뭐냨,2
좆토애니메이션,2
컴퓨터는,2
느껴지겠넼,2
만념글,2
성우들,2
올려놓는다,2
직구밖에,2
해뇠었나,1
식의,1
진지한거보소,1
갈아입고,1
면간,1
아쉽놐,1
보자마자,1
하고싶은,1
2300,1
광고오냐,1
길을,1
달아라,1
벌레잡기,1
했을까,1
지능임,1
병신,1
바쁘네,1
욱일입갤,1
이어지는,1
뭐노,1
기만자새끼들,1
상식적인,1
2시간,1
날씨면,1
뜨신물이,1
앵귤러,1
싸가지,1
한녀마인드,1
내일을,1
존멋,1
찐따쉑들,1
이유가,1
우울로,1
작당모의,1
쿈게이야,1
빨통,1
어디선가,1
떨어지는뎈,1
신의,1
안입힌다,1
다크어썌신,1
아싸쉑,1
생리중,1
아이돌로,1
노시,1
학교라는,1
6등이다,1
성의없네,1
만져볼래,1
체력은,1
의복,1
하고있었음,1
훈련소는,1
맞출수,1
스탠드냐,1
싸이코패스,1
했었는데,1
아닥한듯,1
큰일은,1
게롯파,1
야만국가,1
아침부터,1
가정보안,1
분발해라,1
먼데,1
포장충,1
3교대고,1
시대를,1
이거애니새로나옴,1
슴골,1
아무튼,1
씹노잼행,1
저거시발,1
피눈물행,1
업글,1
기준,1
모으네,1
우산도,1
야트리스,1
자세면,1
사과하라,1
야인슈타인,1
안믿고있어,1
같지,1
사실싱,1
죽었다,1
꼽사리,1
다음화,1
빈혈,1
그런건,1
그언섹,1
로리들,1
끝나니,1
거대젖가슴,1
오피여자갘놐,1
전제노,1
들이밀움,1
풀려싿,1
5명,1
나빸,1
늙어서,1
작화,1
지능,1
표지,1
노동자,1
라는말,1
패러디,1
원래이랬나,1
상식드립,1
써라,1
i컵은,1
다컸지,1
눈물의,1
퇴갤직전,1
소년,1
퍄퍄퍄퍄퍄퍄퍄퍄퍄,1
때문에,1
오신,1
집사도,1
부릉부릉,1
입갤인데,1
혼내줘여지,1
야구장갔다가,1
5분은,1
재재재,1
피규어만,1
지금노래,1
추루야,1
얘도,1
추한데,1
ssd수면으로,1
말대꾸하잖아,1
감정실렸음,1
특보,1
금칙,1
물주냐,1
시간평면,1
콘바스,1
노예행,1
8명,1
묻혀서,1
저번에,1
찌찌도,1
기다려,1
소녘,1
혐한,1
미쿠르,1
왕복,1
칼질도,1
눈돌아가네,1
설산증후군부터,1
발페티시,1
웃긴점,1
1천만원,1
안하는거니,1
소레가,1
아름다운,1
품평들어간다,1
웃음참고있을듯,1
눈물이,1
전투력,1
로리누나,1
뒷태보고,1
파티,1
우리가,1
리얼,1
튀김옷이,1
무댄침입에,1
보는데,1
대줬으면,1
실한데,1
게이같이,1
방송에서,1
하루히왔닼,1
튼실한,1
레이와,1
내일의,1
이거왜실북갤임,1
그러니까,1
해볼래,1
의견좀,1
스튜디오,1
수상,1
37화하노,1
도심속의,1
모으는거봐,1
골든위크,1
로리하루히,1
충실하게,1
부드럽네,1
잡혔닼,1
업으면,1
현관합체좀,1
끝났노,1
케이이치,1
막곡으로,1
데쇼카,1
찌찌봐랔,1
각인가,1
사망플래그,1
선택한게,1
뜨거운밤,1
와타시노,1
컴기준,1
옵션,1
운전사,1
2기그림체,1
옆은,1
좋잖여,1
