vocab,Freq
소실의,3
소설은,3
소설로,3
세미,3
세계에서,3
설산증후군,3
설마,3
생일,3
생각함,3
생각보다,3
생각나,3
새해,3
새벽,3
샀음,3
산타클로스,3
산타,3
사진을,3
사서,3
사랑한다,3
뽀뽀,3
빼빼로,3
블로그,3
브라,3
분홍브라,3
부활하는거냐,3
부장,3
부분,3
부갤주님,3
봤냐,3
봐야되냐,3
본지,3
본다,3
복습하면서,3
복선,3
보여주네,3
보면서,3
보다가,3
보는중,3
보는거지,3
보냐,3
보기,3
보고있는데,3
보고옴,3
병신년아,3
별모양,3
버젼,3
버스트,3
배경음악,3
배경,3
발매된지,3
발냄새,3
발견,3
발간,3
받은,3
반응,3
바이올렛,3
바이,3
바스트모핑,3
미쿠루대가리가,3
미친놈들,3
미친년들도,3
미쳤네,3
뭐라고,3
문학부,3
무네니,3
모리씨,3
모름,3
모른다,3
모르던데,3
모르겠다,3
모두가,3
모두,3
명작이지,3
명작이냐,3
명언,3
며칠,3
메이드모에,3
메리크리스마스,3
먼가,3
매력적임,3
맡고싶다,3
맞습니다,3
맞냐,3
망각,3
망가,3
말인데,3
말이야,3
말이,3
말아줘,3
많은데,3
많네,3
만약에,3
만든지,3
마지막시험,3
마음에,3
마마마가,3
마갤,3
료코,3
로젠메이든이,3
럽라,3
라이트노벨,3
라디오,3
라노벨스러운거,3
라고,3
라2온이라고,3
뜬금없긴한데,3
똥쓰레게,3
똑바로,3
때문에,3
때가,3
딸감,3
들이대는거봐랔,3
들어왔는데,3
들어와,3
들어보고싶다,3
들어,3
듣고,3
드래곤볼,3
된다면,3
동영상포함,3
동아리,3
돌아다니는거야,3
돌아가고,3
도착했다,3
도전,3
도배차단,3
데이트신청에,3
덧니,3
덕주씨찾기,3
덕주씨,3
대회참가,3
대회,3
대부분,3
대결,3
당시에는,3
닥치고,3
다행이다,3
다이스키,3
다음주,3
다운,3
다르게,3
니코동에서,3
늒네,3
느낌,3
느끼는것,3
느껴지겠넼,3
뉴스,3
눈이,3
눈물난다,3
누구야,3
누구,3
노잼인데,3
노이지,3
노래를,3
네이버에,3
너네,3
내일은,3
내용은,3
내년,3
남자,3
나왔을,3
나올때까지,3
나온지,3
나온다고해서,3
나오지,3
나오고,3
나에게,3
나머지,3
나가토라는,3
끝났어,3
끝나고,3
꼴림,3
깨트린,3
김유식,3
기분이,3
급식충,3
글이,3
글리젠이,3
근대,3
극장판만들면,3
그자체,3
그립습니다,3
그립다,3
그려봤다,3
그런데,3
그대로,3
그나마,3
귀엽다,3
귀여울수록,3
궁금한거있음,3
교복,3
괴롭히지,3
괴롭히고싶다,3
광고쟁이가,3
공지로,3
공격,3
골반,3
고정관념을,3
고전명작복습,3
고딩때,3
경축,3
결혼하고싶다,3
결말이,3
게임하다가,3
걸리겠지,3
거유,3
갤주투표,3
갤은,3
갤럭시,3
갤러들,3
갤러,3
갤도,3
개커엽,3
개발자,3
개꼴린다,3
같음,3
갈수록,3
가자,3
가슴이,3
가슴만지게함,3
가서,3
가면,3
top5에,3
5천일,3
5등이,3
5000일을,3
4일,3
4명,3
4기,3
4권,3
4995,3
3기좀,3
3기에,3
