vocab,Freq
자체가,168
궁금하다,168
마녀,168
마기레코,167
네없좋,167
고양이가,167
가슴이,167
어느정도,167
학교에서,167
생각났는데,166
은근히,166
맛있는,166
오히려,166
레즈비언,166
아야는,166
아조씨,166
아칼리,166
백합웹툰,166
붐은,166
성격,165
순간,165
루시메르,165
정도,165
찾음,165
히어로,165
특전,165
할까,165
커플은,165
먹으면,165
다행이다,165
일주일,165
나름,165
반응,165
백합하렘,165
세계,164
수위,164
얘기가,164
만화책,164
일본은,164
러브트레인,164
되지,164
마라,164
볼때,164
했더니,164
우리나라,163
노말이,163
피자,163
평범한,163
아마존,163
나왔는데,163
소식,162
연창고,162
작은,162
정리,162
우리형,162
아이카츠,162
주인님,162
같지,162
대신,162
언젠가,162
매니저,161
뭐하는,161
테스트,161
사랑해,161
로맨스,161
무협백합,161
이상해,161
백합판,161
고전,161
근본,161
말은,161
대부분,161
라이브,160
하지만,160
가근페,160
호불호,160
하고싶다,160
기다리고,160
언제부터,160
순위,159
나츠키,159
1기,159
배틀레즈,159
피크닉,159
안봤는데,159
씨베드,159
메르시가,159
마말로니,159
아쉬운,159
너넨,159
돈이,159
맞아,159
찾아줘,159
엮이는,159
마츠리,158
알려줘,158
서큐버스,158
미치겠다,158
보이스,158
너희,158
무서워,158
갤주님,158
내일은,157
연성,157
사귀어,157
좋아할,157
바쁘다,157
후배,157
어릴때,157
약스포,157
야심한,157
현실에서,157
날씨,157
히나는,157
나오지,157
2장,156
이거보고,156
센티넬버스,156
했으면,156
하렘,156
음료수,156
그러니까,156
동생,156
떠오르는,156
좋던데,156
쿠사나기,156
작품들,156
빠는,156
살까,155
살짝,155
해피엔딩,155
은정수지는,155
진도,155
너무좋아,155
노말충,155
만화에서,155
유유유,155
히토미에,155
여기는,155
눈을,155
볼거,155
보지,155
없이,154
요청,154
페도,154
해피,154
끝나면,154
찐백합,154
둘이서,154
때가,154
안하는,154
배캅,154
안돼,153
1장,153
세상에서,153
하영이,153
괴롭히는,153
사요는,153
메이가,153
이번분기,153
나올까,153
여자들,153
뭐있음,152
않은,152
1과,152
야해,152
이상,152
한국에서,152
갤러리는,152
율하엔딩,152
말인데,152
있던데,152
기대된다,152
번역하는,152
고백,152
공지,152
떴네,152
많다,152
만와,152
여왕님,152
생김,151
원본,151
흥갤이네,151
코믹스,151
맛있다,151
나노페이,151
몰라도,151
스팀에,151
번역하고,151
걸까,151
이웃집,151
금요일,151
백합작품,151
너네는,151
릴리,151
밴드,151
탄지우,150
짤이,150
팬아트,150
안된다,150
뱀파이어,150
메르하나,150
녹턴,150
눈이,150
릿카,150
다이어트,150
서양,149
이리,149
오지네,149
만우절,149
이런게,149
오시러브,149
추천하는,149
있었다,149
후속작,149
자기전에,149
영원이,148
서우,148
아이,148
6권,148
조따,148
좋아요,148
춘미,148
갤럼들아,148
트윗,148
동생이,148
가능한,148
개꿀잼,148
좋겠음,148
여고생xav배우,148
배고프다,148
여자는,148
방순마리,147
순애,147
가져왔다,147
무르시엘라고,147
와서,147
퀸메,147
되는데,147
미월이,147
보는거,147
스트로베리,147
가위치기,147
사요리사,147
소설이,147
올리면,147
말을,147
따먹충,147
잘하는,147
시벌,146
스트레스,146
사람을,146
하고싶어,146
츤데레,146
정도면,146
공부,146
나날,146
취향이,146
속죄에,146
설기,145
함께,145
대학생,145
해본,145
설레는,145
나랑,145
올만에,145
맞는,145
소백,144
싫음,144
종이책,144
카드,144
좋은점,144
해주세요,144
아름다운,144
보고옴,144
번역좀,144
귀엽네,144
파인애플,144
관계,144
클리셰,144
너의,144
될까,144
강아지,144
같아서,144
하나가,144
머냐,144
무제,144
이브,143
커엽다,143
중에서,143
같네,143
처음으로,143
주문토끼,143
기타소녀,143
올리고,143
문제,143
이후로,143
모르겠네,143
세주,142
찾는,142
10년,142
미캉우지,142
신무월,142
있더라,142
보려고,142
주인공x라이벌,142
화장실,142
그건,142
모습,142
본다,142
슬픈,141
못하겠다,141
리사가,141
공부하기,141
행복해,141
마도호무,141
회로돌려,141
한쪽이,141
나올때까지,141
플라토닉,141
소녀가,141
백합갤,141
않았나,141
걸린,141
요우리코,141
딱히,141
레즈토리,141
다음주,140
오는,140
여친이,140
번역된거,140
부끄러운,140
자러가눈고야,140
미사코코가,140
릴리미월,140
레쥬퀸,140
차기작,140
칼가는,140
그녀,140
딸이,140
발렌타인,140
몰래,140
보벼,140
뭐였지,140
코토노하,139
쿠폰,139
폭풍,139
조회수,139
시작하는,139
그렇고,139
실제로,139
일상물,139
나너울,139
언제나옴,139
인터넷,139
짜증나,139
몰라,139
봤어,139
사서,138
안구사,138
미연시,138
편의점,138
만화를,138
유일한,138
기억상실,138
님들아,138
더러운,137
원탑,137
쩐다,137
일러스트,137
이브마야,137
친구한테,137
혜원이,137
귀엽지,137
역식요청,137
여성향,137
목록,137
뱅드림에서,137
벤츠,137
하루에,136
싶음,136
충격,136
상냥한,136
투룸,136
마일리,136
이거지,136
섹스하는,136
백갤하는,136
니들은,136
니들이,136
놈들,136
마리,136
있을,135
포스타입,135
갓갓,135
다니는,135
오늘이,135
여자아이,135
재미있네,135
수민이,134
수도,134
일어,134
밖에서,134
커플링은,134
보다보면,134
포인트,134
추천한,134
과연,134
대학,134
망상,134
볼까,134
봤던,134
라라샘,134
구다코,133
요시코,133
해야지,133
후타,133
백의성,133
있다면,133
타에아리,133
가끔씩,133
그런지,133
갈수록,133
어수없,133
모험가,133
몸이,133
히나로지,133
지하철,133
1시간,132
죽어,132
쩌는,132
이걸로,132
알려주는,132
기다리는,132
와꾸가,132
되고,132
부르는,132
성휩마,131
새삼,131
수인,131
야함,131
주운,131
작가님은,131
몰랐는데,131
찾아봤는데,131
없나요,131
원하는,131
샤니마스,131
공수,131
꿈을,131
스왈로테일,131
에리피요,131
백붕,131
성별,130
우리는,130
죽은,130
찐따,130
백합계의,130
있었으면,130
유일하게,130
번역이,130
안나오고,130
감금,130
그랑블루,130
부럽다,130
많냐,130
명빵,130
2332,130
문제가,130
검색해,130
나오코,130
하렘물,130
3d,129
얘는,129
없니,129
자는,129
음식,129
좋아서,129
최애,129
않는다,129
모두가,129
토요일,129
아니지만,129
나카요시카와,129
추천해dream,129
그저,129
재밌었다,129
좋아했는데,129
팝팀에픽,128
가능하냐,128
어쩔,128
오지게,128
들어와라,128
하다,128
흔한,128
그려옴,128
읽었다,128
갤러,128
거지,128
공이,128
꽃에,128
언니등쟝,128
하나씩,128
느낀건데,128
내용이,127
수준,127
가학충,127
안함,127
주는,127
야마노스스메,127
백붕아,127
많은거,127
레주퀸,127
보세요,127
키라라,127
소현수지,127
마이너x마이너,127
영어,126
리즈토리2,126
이어지는,126
타이야키,126
서우선배,126
있나요,126
초등학교,126
아리사는,126
저렇게,126
뒤에,126
후에에,126
마신,126
바보,126
나왔음,126
19,125
2분의,125
5권,125
3기,125
일이,125
해야,125
권승지,125
망갤이야,125
시초손,125
알았다,125
볼수록,125
것을,125
재미없고,125
올림,124
자러,124
신기한,124
볼수있는,124
킨들,124
누구야,124
파자,124
타에사아야,124
흥하는,124
번역요청,124
괜찮아,124
주더라도,124
언니를,124
어디감,124
보빔이,124
백합영업,124
선의의,124
찐백이네,124
나서,124
고구마,124
기준이,124
13화,123
태그,123
사람의,123
싶어서,123
가자,123
올라오네,123
불쌍하다,123
갓자친구,123
마왕,123
뮤즈,123
완벽한,123
픽시브에서,122
없고,122
유코,122
판타지는,122
숏컷이,122
하기,122
xx해,122
해봤는데,122
현진이,122
언니의,122
보인다,122
날이,122
아름답네요,122
명작,122
나와도,122
릴리에,121
슬퍼,121
아내,121
4권,121
마루마루,121
이분,121
사약대회,121
럽라는,121
했음,121
후방,121
그녀는,121
이런건,121
친구랑,121
없는게,121
나온다고,121
않으면,121
기억이,121
차이가,121
예쁘다,121
하빈유,120
휠체어,120
행복한,120
애니로,120
시작한,120
망갤이네,120
ntr은,120
옛날엔,120
오늘따라,120
올린다,120
언제쯤,120
개쩌네,120
바이,120
백합만개할,120
패러디,120
하루밍,120
오빠,119
으으,119
짤들,119
커여워,119
12시,119
크게,119
결혼식,119
사약이,119
레진이,119
끝나고,119
붕괴3,119
갓6,119
소녀종말여행,119
자야지,119
양아치,119
다봤는데,119
란이,119
몬가,119
보러,119
나오나,119
내일이,118
슬픔,118
아무,118
아씨,118
여는,118
남캐가,118
일상,118
송하나,118
츠구,118
릿카x아카네,118
하아,118
안나옴,118
읽었는데,118
덮치는,118
보는게,118
앞에서,118
김민영,118
달이,118
매우,118
분량,118
여야장,118
빼고,118
핸드폰,117
코로나,117
미안한데,117
왜이래,117
추가,117
해신이,117
결혼해,117
컴퓨터,117
레즈인,117
여기사,117
너는,117
너와,117
